region,count,mean_family_size,mean_income,mean_reg_salary,mean_seasonal_salary,mean_entrep_inc,mean_others_salary,cash_abroad,cash_domestic,mean_expenditure,mean_food_exp,mean_clothes_exp,mean_furnishings_exp,mean_health_exp,mean_fuels_exp,mean_rent_exp,mean_transpo_exp,mean_comms_exp,mean_recs_exp,mean_educ_exp,mean_misc_exp,mean_furniture_exps,mean_occasions_exp,mean_others_exp
Autonomous Region of Muslim Mindanao (ARMM),5892,4.144433,306103.8742,99061.86592,26364.36796,56828.31976,125426.2339,56292.91718,19425.29956,206674.6887,93921.58622,4824.286151,5039.03632,6324.198235,38471.07128,464.605906,13039.75051,4348.903259,1455.18873,4052.719111,14293.47556,6960.297862,6409.575526,19124.02817
Bicol Region (Region V),6278,4.152835,286558.691,104961.2514,24375.41829,69559.30583,129336.6696,30336.95683,12730.20851,186800.3525,82088.42179,5430.087448,4186.765371,4848.764256,33386.95126,534.88404,11758.1201,3510.728257,1431.7367,5090.111341,13676.55177,7812.974992,5331.191781,27288.99427
Cagayan Valley (Region II),11807,4.463793,334706.9687,141721.453,23969.03074,68722.21047,165690.4838,39316.9253,12815.48268,275865.7009,118162.3316,7188.240874,6229.127043,8022.300754,53500.58626,2593.280596,18414.55848,6459.167951,1944.343694,5874.035826,17856.58237,10527.41984,8541.417295,24040.59668
CALABARZON (Region IV-A),7353,4.353869,364279.7118,167877.4851,26348.22358,64204.09289,194225.7087,40470.78118,13254.52591,287694.5271,117567.6014,7188.972256,6817.104447,8795.262342,56107.94206,3627.815585,20460.63321,7399.823745,2647.454236,8426.228342,19786.46675,10673.79247,7158.28519,47263.6955
Cordillera Administrative Region (CAR),8199,4.632943,231246.7895,83413.4925,18653.84608,50224.68728,102067.3386,13635.33175,25123.39651,190365.955,90558.40444,5315.687401,4659.011099,6044.236614,33047.02744,712.643249,9803.119649,2654.141969,1738.11477,4644.844859,12151.3809,6673.730577,6210.042444,26728.73546
Caraga (Region XIII),10680,4.384738,288771.6188,102072.7922,25783.42491,55452.37865,127856.2171,37561.50384,18926.54691,217160.1702,92075.60403,6737.240918,5730.156835,7519.599345,40538.45281,586.096629,13582.92247,4214.082022,1714.942697,5819.513483,14377.09045,6924.131273,8946.80515,32897.5514
Central Luzon (Region III),8056,4.45252,331838.1096,137715.6142,19778.31269,62968.68806,157493.9269,36907.39995,15775.0535,215716.6348,89730.16807,5372.460278,5266.51924,6202.95643,50013.55934,2035.688431,13610.23957,4356.68148,1655.458292,5934.442527,12931.09409,7982.276068,7131.980387,18788.48064
Central Visayas (Region VII),5823,4.525397,246439.3617,87193.24293,20773.26049,55766.12525,107966.5034,18813.85067,23485.13661,193845.2563,86716.83952,5380.669156,5133.740246,5244.188032,34092.21958,733.695446,10261.40078,2818.695762,2180.345673,4259.033127,13199.36271,8127.325586,8924.383321,27738.78473
Davao Region (Region XI),9509,4.741113,225435.5128,79866.85128,15617.49373,59497.28868,95484.34501,16322.18152,21167.6598,159641.8654,79123.35034,4986.458355,3201.560879,3801.539241,25477.85162,458.068006,8381.284905,2398.144256,1111.790486,3443.830156,10911.85265,6052.949511,5284.06543,23858.24077
Eastern Visayas (Region VIII),9096,4.543426,252022.7282,99709.47274,18610.63479,55243.13468,118320.1075,22388.09982,14483.60983,179415.5655,79048.33652,5191.170624,3877.675352,4732.92876,34935.67216,867.872032,11615.45976,3559.174802,1200.489556,4772.682828,11224.72757,6050.693931,7239.513303,25953.82443
Ilocos Region (Region I),8270,4.261427,239278.429,92496.63821,22630.82491,61743.28561,115127.4631,14540.15405,13645.86917,168198.3776,80266.83567,4638.664571,3531.996856,3534.823216,30494.80846,1027.548247,10121.90423,2413.392261,1066.212092,3906.400484,10495.95236,6185.437606,5783.57231,18008.62334
MIMAROPA (Region IV-B),7448,4.512352,234171.9463,83809.81606,19266.40682,67924.44522,103076.2229,18307.87272,10910.52699,179568.4107,85640.48241,5432.29565,3591.534237,5247.459721,28816.46778,599.062299,11770.11332,2768.633459,1255.673469,4568.900644,11341.14313,6153.906149,5844.116273,21955.21764
Metropolitan Manila,17977,4.397869,448622.0802,255540.1213,20818.27201,52183.69923,276358.3933,29789.33693,13852.09062,353223.3405,136928.7575,7506.113145,7274.769094,7508.592924,90541.01797,10954.64227,22513.76559,9780.76164,2216.732047,9353.447794,24181.2259,9084.904767,6505.819213,45114.99978
Northern Mindanao (Region X),8538,4.470016,325719.0792,111334.9013,31323.33954,86827.22991,142658.2408,24579.65413,15525.67182,210801.8263,80623.3721,7294.407004,4140.774889,6936.832748,45412.26423,2414.016163,14625.63809,4372.100492,1795.894472,9885.837316,15190.5116,6054.081167,5479.873038,32789.28051
SOCCSKSARGEN (Region XII),7255,5.598759,159206.3132,26933.36403,13274.24301,87442.61502,40207.60703,7395.552033,7575.459959,123266.0458,74493.6856,3242.011992,1628.260096,1341.623846,17058.70296,57.456926,5897.699793,1419.780289,493.184149,2410.343487,7504.577533,1785.722123,2332.216402,3947.848932
Western Visayas (Region VI),7587,4.636352,243399.8229,89506.39634,25795.48623,57314.48913,115301.8826,16676.3705,15960.93436,188060.724,84850.0945,5577.699354,4158.408857,4975.233426,30986.22143,628.291815,11260.04982,2746.854883,1521.242125,5329.256755,11869.1119,9386.004877,8130.839594,35167.54593
Zamboanga Peninsula (Region IX),7949,4.272173,257882.4364,82940.50434,23083.41942,73610.82174,106023.9238,17664.98314,22495.78161,177981.2454,81477.62712,5753.353252,4221.660712,4532.478802,32307.12266,845.769028,10673.74261,2579.163668,1576.814065,4123.084916,12004.80362,7049.589508,4405.400805,30134.49805
